id	unitId	form	name	rank	maxLv	level	health	attack	speed	kb	atkOccu	atkFreq	dps	range	reach	sAtkReach	lAtkReach	cost	again	conAtk	firstAtk	firstOccu	secondAtk	secondOccu	thirdAtk	thirdOccu	reOnConAtkChara	wait	backSwing	waveProbability	waveLevel	miniWave	ragingWaveProbability	ragingWaveLevel	ragingWaveSReach	ragingWaveLReach	againstWhite	againstRed	againstFloat	againstBlack	againstMetal	againstAngel	againstAlien	againstZombie	againstAncient	againstDemon	veryStrong	superDamage	strongStruck	extremeDamage	superStrongStruck	blowAway	attackInvalid	stopMoving	slowDown	atkReduce	curse																																
001-1	1	1	ネコ	基本	20+90	30	1700	135	10	3	8	37	109	単体	140			75	60									29	10	0	0		0	0	0	0																																																					
001-2	1	2	ネコビルダー	基本	20+90	30	1700	135	10	3	8	37	109	単体	140			75	60									29	8	0	0		0	0	0	0																																																					
001-3	1	3	ネコモヒカン	基本	20+90	30	3400	272	10	3	8	37	221	単体	140			75	60									29	8	0	0		0	0	0	0																																																					
002-1	2	1	タンクネコ	基本	20+90	30	6800	35	8	1	8	67	16	範囲	110			150	60									59	8	0	0		0	0	0	0																																																					
002-2	2	2	ネコカベ	基本	20+90	30	6800	35	8	1	8	67	16	範囲	110			150	60									59	8	0	0		0	0	0	0																																																					
002-3	2	3	ゴムネコ	基本	20+90	30	10200	67	8	1	8	67	30	範囲	110			150	60									59	8	0	0		0	0	0	0																																																					
003-1	3	1	バトルネコ	基本	20+90	30	3400	425	12	3	8	27	472	単体	150			300	60									19	8	0	0		0	0	0	0		赤									めっぽう強い																																										
003-2	3	2	勇者ネコ	基本	20+90	30	3400	425	12	3	8	27	472	単体	150			300	60									19	8	0	0		0	0	0	0		赤									めっぽう強い																																										
003-3	3	3	暗黒ネコ	基本	20+90	30	6800	850	12	3	8	27	944	単体	150			300	60									19	9	0	0		0	0	0	0		赤									めっぽう強い																																										
004-1	4	1	キモネコ	基本	20+90	30	6800	1700	10	3	8	127	402	単体	350			600	66									119	8	0	0		0	0	0	0																																																					
004-2	4	2	美脚ネコ	基本	20+90	30	6800	1700	10	3	6	125	408	単体	350			600	66									119	6	0	0		0	0	0	0																																																					
004-3	4	3	ムキあしネコ	基本	20+90	30	13600	3400	10	3	6	125	816	単体	350			600	226									119	6	0	0		0	0	0	0							エ				めっぽう強い																																										
005-1	5	1	ウシネコ	基本	20+90	30	8500	220	30	5	6	10	660	単体	140			750	60									0	4	0	0		0	0	0	0																																																					
005-2	5	2	ネコキリン	基本	20+90	30	8500	220	30	5	6	10	660	単体	140			750	60									0	4	0	0		0	0	0	0																																																					
